"Season","N","Mean_Yield","SD_Yield","Median_Yield","Minimum_Yield","Maximum_Yield"
"Maha",497,3910.35412474849,828.945477206759,3886,1547,6622
"Yala",477,3928.58490566038,834.967346781807,3927,1975,6252
