"Record_ID","Reference_Year","Season_Year","Season","Geography","Geography_Type","Major_Sown_Ha","Minor_Sown_Ha","Rainfed_Sown_Ha","All_Sown_Ha","Major_Harvested_Ha","Minor_Harvested_Ha","Rainfed_Harvested_Ha","All_Harvested_Ha","Major_Yield_kg_per_ha","Minor_Yield_kg_per_ha","Rainfed_Yield_kg_per_ha","Average_Yield_kg_per_ha","Nett_Harvested_Ha","Total_Production_MT"
358,2012,"2012/13","Maha","HAMBANTOTA","District",21216,6082,1648,28946,21093,6071,1638,28802,6958,5950,3956,6575,25164,165450
409,2013,"2013/14","Maha","JAFFNA","District",NA,NA,10180,10180,NA,NA,2624,2624,NA,NA,1547,1547,2329,3602
658,2018,"2018/19","Maha","HAMBANTOTA","District",27269,5637,1258,34164,27269,5614,1258,34141,6804,6210,4507,6622,29829,197527
683,2018,"2018","Yala","HAMBANTOTA","District",18959,4632,1180,24771,18919,4596,1180,24695,6735,5113,2948,6252,21577,134904
708,2019,"2019/20","Maha","HAMBANTOTA","District",28003,5827,1148,34978,27970,5821,1142,34933,6568,5478,3992,6302,30521,192353
